id1,id2,score
79819,86517,0.9811480641365051
46158,55484,0.9811190366744995
30117,46102,0.9810574054718018
47731,81419,0.9810458421707153
53045,56960,0.9809446334838867
21244,51807,0.9809314012527466
9639,111554,0.9808245301246643
5690,53348,0.9807450175285339
81224,83738,0.9807173013687134
43609,44763,0.9805110692977905
27402,31399,0.980505108833313
51356,116728,0.9804264903068542
27037,107345,0.9804038405418396
32422,56872,0.9803931713104248
20152,30048,0.9803645610809326
77452,87308,0.9803371429443359
12657,43519,0.9802797436714172
50855,111455,0.9802197813987732
46154,57665,0.9801405668258667
51221,58443,0.980139970779419
32805,52251,0.9801214933395386
110841,116135,0.9801110029220581
33117,57307,0.9800615310668945
26719,58581,0.9800401329994202
44730,56063,0.9799838066101074
31123,50663,0.9799304604530334
1341,45474,0.9798649549484253
22173,56177,0.979704737663269
30389,46614,0.9795776009559631
52729,115798,0.9795190691947937
58506,117268,0.9795007705688477
21880,53140,0.9792076349258423
22397,51168,0.9791715145111084
59848,117572,0.9791114330291748
21519,52431,0.9790682792663574
8310,57633,0.9790583848953247
20389,30641,0.979056179523468
77893,90956,0.9790021181106567
33489,53356,0.9789537191390991
20949,55282,0.9789267778396606
9705,52312,0.9788732528686523
1777,110984,0.9788249731063843
32737,58422,0.9788199663162231
5050,53663,0.9785903096199036
188,23586,0.9784946441650391
110879,116586,0.9784905314445496
3901,115982,0.9784516096115112
45966,51756,0.9784272909164429
43641,60686,0.9783138036727905
21026,31900,0.9782805442810059
974,89378,0.9782676696777344
3594,47287,0.9780999422073364
46404,52402,0.9780254364013672
51203,79932,0.9779928922653198
59194,60800,0.9777359962463379
62490,82616,0.9775475263595581
8297,32565,0.9775002002716064
44858,59935,0.9774878025054932
3612,110835,0.977487325668335
43473,52455,0.9774712324142456
56793,115881,0.9773246049880981
76556,97458,0.9772155284881592
50487,58385,0.9771881103515625
76404,93262,0.9771139621734619
22008,52466,0.9770952463150024
31025,50570,0.9770922064781189
50711,111929,0.9770908355712891
115660,117046,0.9770639538764954
30704,117377,0.9770058989524841
5421,90939,0.9769072532653809
82783,111957,0.9768584966659546
2028,56497,0.9767175912857056
110897,115883,0.9766188859939575
33885,57447,0.9765905141830444
22466,50913,0.9765725135803223
24389,81396,0.976569414138794
64748,96678,0.9765298366546631
8257,41600,0.9764825105667114
27472,45980,0.9764593839645386
46223,57857,0.9763679504394531
110819,115990,0.9763524532318115
13069,58678,0.9762173295021057
41052,78530,0.9761636257171631
59,91313,0.976127028465271
21559,52604,0.9761103391647339
29999,44721,0.9759724736213684
85,81161,0.9759063124656677
20552,58668,0.9758651256561279
32551,51854,0.9757478833198547
51204,60020,0.9756666421890259
27236,30628,0.9754867553710938
34645,56354,0.9753016233444214
20236,30264,0.9752755165100098
